City_ID,City,Max Temp,Description,Lat,Lng,Hotel Name
83,Nador,89.85,clear sky,35.174,-2.9287,Hôtel La Giralda
84,Viedma,53.65,overcast clouds,-40.8135,-62.9967,Hotel Cristal
85,Husavik,61.41,overcast clouds,66.0449,-17.3389,Bjarnabúð
86,Carutapera,83.52,overcast clouds,-1.195,-46.02,Lidera
87,Iskateley,46.99,scattered clouds,67.6803,53.1512,Hostel Agat
88,Ilulissat,46.42,broken clouds,69.2167,-51.1,Hotel Arctic
89,Mahebourg,67.24,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
90,Gat,82.78,clear sky,31.61,34.7642,OlusHome
91,Torbay,67.75,broken clouds,47.6666,-52.7314,Gallows Cove
92,Souillac,67.35,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
93,Iqaluit,47.93,light rain,63.7506,-68.5145,Frobisher Inn
94,Misratah,83.84,clear sky,32.3754,15.0925,فندق الماسة
95,Batsfjord,44.89,overcast clouds,70.6345,29.7185,Adventure Apartements
96,Lyuban,71.26,overcast clouds,52.7985,28.0048,"Gostinitsa ""Oressa"""
97,East London,58.33,clear sky,-33.0153,27.9116,Tu Casa
98,Beaufort,76.19,scattered clouds,5.3473,115.7455,The Gem Hotel Beaufort
100,Barcelos,76.28,scattered clouds,41.5388,-8.6151,Hotel Do Terço
101,Vila Velha,70.95,scattered clouds,-20.3297,-40.2925,Quality Suites Vila Velha
102,Belmonte,77.5,overcast clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
103,La Baule-Escoublac,67.21,overcast clouds,47.2922,-2.364,Hôtel Barrière Le Royal La Baule
104,Ribeira Grande,73.8,broken clouds,38.5167,-28.7,Quinta da Meia Eira
106,Ipameri,80.01,clear sky,-17.7219,-48.1597,Real Hotel
108,Grand Gaube,67.37,broken clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
109,Moose Factory,64.71,overcast clouds,51.2585,-80.6094,Moosonee Lilypad
110,Kudahuvadhoo,82.33,broken clouds,2.6708,72.8944,Niyama Private Islands Maldives
111,Qasigiannguit,46.65,overcast clouds,68.8193,-51.1922,Hotel Diskobay
112,Carndonagh,71.64,scattered clouds,55.25,-7.2667,Riversdale Country House
114,Huicungo,87.71,clear sky,-7.2833,-76.8,Gran Pajaten Trek
115,Maracacume,82.65,light rain,-2.0428,-45.9592,Hotel Ramos
116,Saint-Francois,77.68,clear sky,46.4154,3.9054,Manoir Du Bonheur
117,Paamiut,42.21,overcast clouds,61.994,-49.6678,Hotel Ivaana
118,Mastung,85.95,broken clouds,29.7994,66.845,Al Hasnan Cold Drink Santer
119,Marsh Harbour,78.89,overcast clouds,26.5412,-77.0636,Abaco Beach Resort
120,Kathu,87.69,overcast clouds,7.9178,98.3332,Novotel Phuket Resort
121,Maloy,73.99,overcast clouds,61.9353,5.1136,Torget Hotell
