City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
122,Nikolskoye,RU,2021-07-23 00:40:36,59.7035,30.7861,60.8,80,100,5.37
123,Cahors,FR,2021-07-23 00:47:34,44.4167,1.3333,72.14,61,3,3.71
124,Turochak,RU,2021-07-23 00:47:35,52.2576,87.1224,64.76,98,100,1.19
125,Tiznit,MA,2021-07-23 00:44:40,29.5833,-9.5,87.06,22,0,2.77
126,Airai,TL,2021-07-23 00:39:56,-8.9266,125.4092,71.19,27,15,2.59
127,Kralendijk,BQ,2021-07-23 00:47:36,12.15,-68.2667,82.38,78,20,18.41
128,Inongo,CD,2021-07-23 00:42:17,-1.95,18.2667,70.84,47,90,4.36
129,Bose,IT,2021-07-23 00:47:36,45.4612,8.0137,74.79,89,25,5.39
130,Dubovskoye,RU,2021-07-23 00:47:36,47.4092,42.7575,66.67,89,88,9.24
131,Saint-Philippe,RE,2021-07-23 00:39:46,-21.3585,55.7679,65.79,77,45,13.22
132,Fatehgarh Churian,IN,2021-07-23 00:47:37,31.8621,74.9553,82.26,77,100,4.12
133,Kamenka,RU,2021-07-23 00:47:37,51.3223,42.7678,56.59,86,0,7.2
134,Dikson,RU,2021-07-23 00:39:35,73.5069,80.5464,38.5,96,99,15.99
135,Tandil,AR,2021-07-23 00:47:37,-37.3217,-59.1332,51.12,81,100,7.87
136,Roma,US,2021-07-23 00:45:23,43.2128,-75.4557,68.14,60,1,9.22
137,Saskylakh,RU,2021-07-23 00:40:17,71.9167,114.0833,66.29,67,53,9.1
138,Ritchie,ZA,2021-07-23 00:47:38,-29.038,24.6028,25.81,64,0,7.85
139,Almaznyy,RU,2021-07-23 00:47:38,48.0448,40.045,64.54,68,100,10.33
140,Chokurdakh,RU,2021-07-23 00:39:56,70.6333,147.9167,53.01,48,0,8.66
141,Ribeira Grande,PT,2021-07-23 00:39:59,38.5167,-28.7,68.67,76,5,7.34
142,Hanmer Springs,NZ,2021-07-23 00:47:39,-42.5167,172.8167,51.19,65,0,0.67
143,Castro,BR,2021-07-23 00:40:37,-24.7911,-50.0119,48.15,58,0,3.29
144,Trairi,BR,2021-07-23 00:38:21,-3.2778,-39.2689,79.09,80,3,13.98
145,Frankfort,ZA,2021-07-23 00:47:40,-27.2667,28.4833,26.33,54,0,3.58
146,Libourne,FR,2021-07-23 00:47:40,44.9167,-0.25,75.22,57,9,3.96
147,Norman Wells,CA,2021-07-23 00:40:13,65.282,-126.8329,78.84,44,75,18.41
148,Zdvinsk,RU,2021-07-23 00:42:10,54.7021,78.661,66.0,74,0,5.5
149,Tasiilaq,GL,2021-07-23 00:40:04,65.6145,-37.6368,46.56,97,100,2.66
150,Bawku,GH,2021-07-23 00:47:40,11.0616,-0.2417,78.48,66,100,8.03
151,Bambous Virieux,MU,2021-07-23 00:40:23,-20.3428,57.7575,70.05,73,40,17.27
152,Sosnovo-Ozerskoye,RU,2021-07-23 00:42:07,52.5249,111.5418,65.75,71,0,10.85
153,Pasighat,IN,2021-07-23 00:42:45,28.0667,95.3333,85.62,74,4,0.96
154,Atuona,PF,2021-07-23 00:41:06,-9.8,-139.0333,77.47,72,96,10.25
155,Provideniya,RU,2021-07-23 00:40:10,64.3833,-173.3,44.71,81,75,15.66
